url_detail_id,scrapped_day,title,opening_date,closing_date,source,is_alert,location
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25673,19/03/2023,"Project Management Support  Senior Assistant (two regular positions), Multiple positions",17-Mar-2023,09-Apr-2023,unops,False,Multiple
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=24682,19/03/2023,Journaliste Radio,26-Sep-2022,06-Apr-2023,unops,False,"Kinshasa , Democratic Republic of the Congo"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=24689,19/03/2023,Chargé.e des Média Sociaux,26-Sep-2022,06-Apr-2023,unops,False,"Kinshasa, Democratic Republic of the Congo"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25670,19/03/2023,Programme Manager,17-Mar-2023,06-Apr-2023,unops,True,"Bangkok, Thailand"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25659,19/03/2023,Senior Project Manager,16-Mar-2023,04-Apr-2023,unops,True,"Tunis, Tunisia"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25608,19/03/2023,Senior Project Manager (Agricultural Development),06-Mar-2023,03-Apr-2023,unops,False,"Antananarivo, Madagascar"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25658,19/03/2023,Project Management Office (PMO) Specialist,17-Mar-2023,02-Apr-2023,unops,False,"Islamabad, Pakistan"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25674,19/03/2023,ICT Senior Manager  Web Services,17-Mar-2023,02-Apr-2023,unops,False,"New York, United States of America"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25676,19/03/2023,Associate Architect,17-Mar-2023,31-Mar-2023,unops,True,"Tashkent, Uzbekistan"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25677,19/03/2023,Procurement Senior Associate,17-Mar-2023,31-Mar-2023,unops,False,"Antananarivo, Madagascar"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25679,19/03/2023,"Associate Construction Management Engineer, Multiple positions",17-Mar-2023,31-Mar-2023,unops,True,Multiple
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25667,19/03/2023,"Asistente Sénior de Servicios de Apoyo _Proyectos, Multiple positions",17-Mar-2023,31-Mar-2023,unops,True,"Managua, Nicaragua, Nicaragua"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25639,19/03/2023,Human Resources Senior Officer,13-Mar-2023,31-Mar-2023,unops,True,"Bangui (Non Family Duty Station), Central African Republic"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25619,19/03/2023,Senior Programme Manager (Multiple Positions),07-Mar-2023,31-Mar-2023,unops,False,Multiple
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25421,19/03/2023,IPSAS Specialist,08-Feb-2023,31-Mar-2023,unops,False,"Copenhagen, Denmark"
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25555,19/03/2023,Chief Technical Officer,10-Mar-2023,31-Mar-2023,unops,False,Multiple
