url_detail_id,scrapped_day,title,opening_date,closing_date,source,is_alert,location,tipo,reference,organization
https://www.ungm.org/Public/Notice/198577,24/04/2023,National Consultant to conduct a Midterm Evaluation,24-Apr-2023,05-May-2023 16:59 (GMT -4.00),ungm,False,Uganda,Individual consultant,UNDP-UGA-00083,
https://www.ungm.org/Public/Notice/198578,24/04/2023,NGO/INGO/Firm to develop a network of practitioners on right to fair trial,24-Apr-2023,07-May-2023 12:59 (GMT -4.00),ungm,False,Viet Nam,Request for proposal,UNDP-VNM-00077,
https://www.ungm.org/Public/Notice/195083,24/04/2023,Newpaper LTA ITB Launch,24-Apr-2023,03-May-2023 17:59 (GMT -4.00),ungm,False,Malawi,Invitation to bid,UNDP-MWI-00184,
https://www.ungm.org/Public/Notice/197561,24/04/2023,5044/23 EMPRESA EXPERTA EN INSTALACIÓN Y MANTENIMIENTO DE EQUIPOS BIOMÉDICOS,24-Apr-2023,03-May-2023 12:00 (GMT -4.00),ungm,False,Bolivia,Request for proposal,UNDP-BOL-00039,
https://www.ungm.org/Public/Notice/198530,24/04/2023,Institutional strengthening and capacity building of irrigation,24-Apr-2023,04-May-2023 03:00 (GMT -4.00),ungm,False,Tajikistan,Request for proposal,"UNDP-TJK-00101,1",
https://www.ungm.org/Public/Notice/198531,24/04/2023,Development of WASH training modules and conducting trainings,24-Apr-2023,04-May-2023 03:01 (GMT -4.00),ungm,False,Tajikistan,Request for proposal,"UNDP-TJK-00102,1",
https://www.ungm.org/Public/Notice/198539,24/04/2023,Acquisition de matériels informatiques pour l équipe projet PACE,24-Apr-2023,04-May-2023 13:00 (GMT -4.00),ungm,False,Côte d'Ivoire,Request for quotation,UNDP-CIV-00021,
https://www.ungm.org/Public/Notice/198541,24/04/2023,IC - National Consultant for Gender Equality Seal (GES) for the Private Sector,24-Apr-2023,04-May-2023 05:07 (GMT -4.00),ungm,False,Bosnia and Herzegovina,Individual consultant,UNDP-BIH-00212,
https://www.ungm.org/Public/Notice/198559,24/04/2023,ZEC Solar Consultant,24-Apr-2023,03-May-2023 17:00 (GMT -4.00),ungm,False,Zimbabwe,Individual consultant,UNDP-ZWE-00257,
https://www.ungm.org/Public/Notice/198569,24/04/2023,Call for proposal for CSO (s) to provide training on mainstreaming Human Securit,24-Apr-2023,04-May-2023 12:00 (GMT -4.00),ungm,False,Liberia,Grant support-call for proposal,UNDP-LBR-00149,
https://www.ungm.org/Public/Notice/198576,24/04/2023,Gender Observatory Call Centre Consultant,24-Apr-2023,03-May-2023 17:00 (GMT -4.00),ungm,False,Zimbabwe,Individual consultant,UNDP-ZWE-00260,
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25887,24/04/2023,"Human Resources Specialist - Surge Capacity (retainer), Multiple positions",24-Apr-2023,14-May-2023,unops,False,Home based,,,
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25890,24/04/2023,Analyste en Partenariats,24-Apr-2023,07-May-2023,unops,False,"Dakar, Senegal",,,
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25895,24/04/2023,Analyste en Partenariats/ Temps partiel,24-Apr-2023,07-May-2023,unops,False,"Dakar, Senegal",,,
https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=25861,24/04/2023,Assistant.e des Technologies de lInformation et de la Communication,24-Apr-2023,07-May-2023,unops,False,"Kinshasa, Democratic Republic of the Congo",,,
https://www.worldbank.org/en/about/corporate-procurement/business-opportunities/administrative-procurement/rfxnow-2001201-business-models-for-multi-purpose-battery-charging-stations-in-zambia,24/04/2023,RFxNow 2001201 - Business Models for multi-purpose battery charging stations in Zambia,"April 22,2023","May 04,2023",wbg,False,,,0002001201,
https://www.worldbank.org/en/about/corporate-procurement/business-opportunities/administrative-procurement/rfxnow-2001323-business-process-mapping-of-sustainable-urban-development-projects-in-medium-sized-cities-in-greece,24/04/2023,RFxNow 2001323 - Business Process Mapping of Sustainable Urban Development Projects in Medium Sized Cities In Greece,"April 24,2023","May 01,2023",wbg,False,,,0002001323,
https://www.worldbank.org/en/about/corporate-procurement/business-opportunities/administrative-procurement/rfxnow-2001177-design-of-a-parametric-insurance-for-small-scale-milk-producers-in-the-horn-of-africa,24/04/2023,RFxNow 2001177 - Design of a parametric insurance for small scale milk producers in the Horn of Africa,"April 24,2023","May 01,2023",wbg,False,,,0002001177,
https://www.worldbank.org/en/about/corporate-procurement/business-opportunities/administrative-procurement/rfxnow-2001310-implementing-the-ready-to-respond-diagnostic-for-improving-emergency-preparedness-response-in-amman,24/04/2023,RFxNow 2001310 - Implementing the Ready to Respond Diagnostic for Improving Emergency Preparedness &Response in Amman,"April 24,2023","May 02,2023",wbg,False,,,0002001310,
https://www.worldbank.org/en/about/corporate-procurement/business-opportunities/administrative-procurement/rfxnow-2001253-legal-diagnostic-for-creating-npl-secondary-market,24/04/2023,RFxNow 2001253 - LEGAL DIAGNOSTIC FOR CREATING NPL SECONDARY MARKET,"April 24,2023","May 05,2023",wbg,False,,,0002001253,
https://www.worldbank.org/en/about/corporate-procurement/business-opportunities/administrative-procurement/rfxnow-2001271-detailed-technical-design-workplan-for-reengineered-cadastral-system-ukraine,24/04/2023,RFxNow 2001271 - Detailed technical design & workplan for reengineered cadastral system (Ukraine),"April 24,2023","May 09,2023",wbg,False,,,0002001271,
https://www.worldbank.org/en/about/corporate-procurement/business-opportunities/administrative-procurement/rfxnow-2001270-delivering-energy-access-through-smaller-dre-companies-toolkit,24/04/2023,RFxNow 2001270 - Delivering Energy Access through Smaller DRE Companies: Toolkit,"April 24,2023","May 02,2023",wbg,False,,,0002001270,
https://jobs.giz.de/index.php?ac=jobad&id=67301,25/04/2023,"Praktkant*in ""Entwaldungsfreie nachhaltige Agrarlieferketten und Viehwirtschaft""",2023-04-25,2023-05-09,GIZ,False,Bogotá,,,
https://jobs.giz.de/index.php?ac=jobad&id=67303,25/04/2023,Praktikant*in im Sektorvorhaben „Nachhaltige Wirtschaftspolitik und Sozial-Ökologische Wirtschaftstransformation“,2023-04-25,2023-05-09,GIZ,False,Bonn,,,
https://jobs.giz.de/index.php?ac=jobad&id=67298,25/04/2023,Praktikant*in im Sektorvorhaben Soziale Sicherung,2023-04-25,2023-05-09,GIZ,False,Bonn,,,
https://jobs.giz.de/index.php?ac=jobad&id=67300,25/04/2023,"Praktikant*in für das Team ""Internationale Delegationen""",2023-04-25,2023-05-09,GIZ,False,Berlin,,,
https://jobs.giz.de/index.php?ac=jobad&id=67297,25/04/2023,Praktikant*in im Recruiting / Human Resources bei GIZ International Services,2023-04-25,2023-05-09,GIZ,True,Eschborn,,,
https://jobs.giz.de/index.php?ac=jobad&id=66941,25/04/2023,Senior-Spezialist*in Koordination Informationssicherheit in Projekten der GIZ,2023-04-25,2023-05-09,GIZ,False,Eschborn,,,
