url_detail_id,scrapped_day,title,opening_date,closing_date,source,is_alert,location
https://iadbcareers.referrals.selectminds.com/jobs/ite-ipp-devsecops-and-microservices-engineer-consultant-4953,11/03/2023,ITE/IPP DevSecOps and Microservices Engineer Consultant,"Mar 13, 2023","Mar 27, 2023",IDB,True,Country Office
https://iadbcareers.referrals.selectminds.com/jobs/climate-change-consultant-4955,11/03/2023,Climate Change Consultant,"Mar 10, 2023","Mar 24, 2023",IDB,True,Bahamas - Country Office
https://iadbcareers.referrals.selectminds.com/jobs/consultor-en-apoyo-al-an%C3%A1lisis-fiscal-y-eficiencia-del-gasto-en-panam%C3%A1-4954,11/03/2023,Consultor en Apoyo al Análisis Fiscal y Eficiencia del gasto en Panamá,"Mar 10, 2023","Mar 18, 2023",IDB,True,Panama - Country Office
https://iadbcareers.referrals.selectminds.com/jobs/consultancy-to-support-the-design-and-development-of-the-energy-information-management-system-eims-4951,11/03/2023,Consultancy to Support the Design and Development of the Energy Information Management System (EIMS),"Mar 10, 2023","Mar 17, 2023",IDB,True,Suriname - Country Office
https://iadbcareers.referrals.selectminds.com/jobs/services-to-support-partnerships-and-resource-mobilization-activities-4950,11/03/2023,Services to Support Partnerships and Resource Mobilization Activities,"Mar 10, 2023","Mar 15, 2023",IDB,True,"Washington DC, United States - Headquarters"
